country,year,violence_index
Moldova,2024,0.21741251086637586
Monaco,2021,3.7357112480270028e-06
Monaco,2022,1.8571719106682727e-06
Monaco,2023,2.771322619726795e-06
Mongolia,2021,0.31745522451544017
Mongolia,2022,0.08704712868091004
Mongolia,2023,5.9443569389873677e-05
Mongolia,2024,1.7724973657775592e-05
Montenegro,2021,0.23044954966174794
Montenegro,2022,0.21742222533856648
Montenegro,2023,0.23046988613629724
Montenegro,2024,2.0241559036022835e-06
Montserrat,2022,4.122608470238942e-08
Morocco,2021,0.5799721488771438
Morocco,2022,0.6240281684171466
Morocco,2023,0.624648441629346
Morocco,2024,0.36246320067449755
Mozambique,2021,0.8090270554050198
Mozambique,2022,0.8965552902190259
Mozambique,2023,0.8439772822429614
Mozambique,2024,0.7115552126216443
Myanmar,2021,1.1734363472615221
Myanmar,2022,1.4024831584864983
Myanmar,2023,1.255438229353952
Myanmar,2024,1.0012615715492368
Namibia,2021,0.2739410851936739
Namibia,2022,0.27397577664973516
Namibia,2023,0.36093310146157787
Namibia,2024,0.2304516801100962
Nauru,2022,0.043478260869565216
Nauru,2023,0.0
Nepal,2021,0.4082923800293188
Nepal,2022,0.5394137329542507
Nepal,2023,0.49701151472451477
Nepal,2024,0.44925713868658856
Netherlands,2021,0.317589438975979
Netherlands,2022,0.40459575788459023
Netherlands,2023,0.3611151439475495
Netherlands,2024,0.13051039499957276
New Caledonia,2021,0.13043989961805763
New Caledonia,2022,0.1739260937156671
New Caledonia,2023,0.043491730789329296
New Caledonia,2024,0.04348573575815148
New Zealand,2021,0.36096057604604304
New Zealand,2022,0.21755413323259698
New Zealand,2023,0.13054316219306777
New Zealand,2024,0.04353608973024881
Nicaragua,2021,0.44837680856193474
Nicaragua,2022,0.361002354374929
Nicaragua,2023,0.40457272040222214
Nicaragua,2024,0.2305508599249353
Niger,2021,0.6364484955537023
Niger,2022,0.6801031525637711
Niger,2023,0.7694656806849979
Niger,2024,0.6737816805990084
Nigeria,2021,1.1683334463562962
Nigeria,2022,1.267748165629683
Nigeria,2023,1.1493696227355386
Nigeria,2024,0.9724303045164402
Niue,2023,0.0
North Korea,2021,0.44808640120387433
North Korea,2022,0.4485132654021815
North Korea,2023,0.23066537945790314
North Korea,2024,0.043478260869565216
North Macedonia,2021,0.2739835205506642
North Macedonia,2022,0.2739878284522392
North Macedonia,2023,0.18705458632060035
North Macedonia,2024,0.143506420283516
Northern Mariana Islands,2021,8.889501943739756e-08
Northern Mariana Islands,2023,2.4711184302322445e-08
Norway,2021,0.23046692696616916
Norway,2022,0.31749537734711997
Norway,2023,0.23048120032564332
Norway,2024,0.1304546484435532
Oman,2021,0.23047028643474654
Oman,2022,0.043478260869565216
Oman,2023,0.13043672011234406
Oman,2024,0.0
Pakistan,2021,0.8222840881740091
Pakistan,2022,0.971217833744785
Pakistan,2023,0.980637188887691
Pakistan,2024,0.8995817647066393
Palestine,2021,0.8030782022608904
Palestine,2022,0.7160931240965083
Palestine,2023,1.1407279818534957
Palestine,2024,0.9369117079222873
Panama,2021,0.3176304817772915
Panama,2022,0.40470541854751874
Panama,2023,0.44837719332166903
Panama,2024,0.3174518126593502
Papua New Guinea,2021,0.5362606769649382
Papua New Guinea,2022,0.6687492654911485
Papua New Guinea,2023,0.6272640736346606
Papua New Guinea,2024,0.492968516030039
Paraguay,2021,0.40519664527379107
Paraguay,2022,0.5358041384097828
Paraguay,2023,0.49186668994784044
Paraguay,2024,0.18705036376639952
Peru,2021,0.3620899792548429
Peru,2022,0.5373811951148044
Peru,2023,0.6687467593823594
Peru,2024,0.535373634385751
Philippines,2021,0.8083595152698992
Philippines,2022,0.8130220529628305
Philippines,2023,0.8125972431546137
Philippines,2024,0.5825364259032378
Poland,2021,0.44829085412721126
Poland,2022,0.49165370126789354
Poland,2023,0.49157268530935716
Poland,2024,0.40450725905965235
Portugal,2021,0.17412025022472605
Portugal,2022,0.17406050045684948
Portugal,2023,0.08720646798761515
Portugal,2024,0.3609617953088263
Puerto Rico,2021,0.5803367843208214
Puerto Rico,2022,0.5817181108814437
Puerto Rico,2023,0.581500426173688
Puerto Rico,2024,0.31853898921848356
Qatar,2021,0.13045172208475736
Qatar,2022,0.17392547923903964
Qatar,2023,0.08697849259173723
Qatar,2024,0.0
Republic of Congo,2021,0.2741976402070728
Republic of Congo,2022,0.40469490197806657
Republic of Congo,2023,0.3609964305151252
Republic of Congo,2024,0.0
Reunion,2021,0.23045920928815825
Reunion,2022,0.23046672499505388
Reunion,2023,0.317447624888384
Reunion,2024,9.771152959912221e-06
Romania,2021,0.360919734671157
Romania,2022,0.44789283178376726
Romania,2023,0.5348917422973658
Romania,2024,0.13048044651218949
Russia,2021,0.7096249417977077
Russia,2022,0.8419435823963047
Russia,2023,0.844506866070597
Russia,2024,0.594461060039412
Rwanda,2021,0.3611322927722498
Rwanda,2022,0.36112981510321773
Rwanda,2023,0.49142573811392576
Rwanda,2024,0.23048377729958108
Saint Kitts and Nevis,2022,0.0
Saint Kitts and Nevis,2023,0.0
Saint Lucia,2021,0.04347855980965122
Saint Lucia,2022,0.23043714860264877
Saint Lucia,2023,0.23043718416065653
Saint Lucia,2024,1.9618070574005493e-07
Saint Pierre and Miquelon,2022,0.08695698957975337
Saint Pierre and Miquelon,2023,4.027189045705222e-07
Saint Vincent and the Grenadines,2021,0.043479005630406964
Saint Vincent and the Grenadines,2022,2.478458385965608e-07
Saint Vincent and the Grenadines,2023,0.04347828729340586
Saint Vincent and the Grenadines,2024,0.10000015789060333
Saint-Barthelemy,2022,0.04347834250618399
Saint-Martin,2021,0.08696250820702656
Saint-Martin,2022,0.08695828695770677
Saint-Martin,2023,0.08695767590639197
Samoa,2021,0.2739150315460488
Samoa,2022,0.043478260869565216
Samoa,2023,0.14347857893431368
Samoa,2024,1.689820919947594e-07
San Marino,2021,5.547783208466944e-07
San Marino,2022,2.474176745121146e-06
San Marino,2023,4.4178378008475473e-07
San Marino,2024,6.626756701271321e-07
Sao Tome and Principe,2021,0.13043873811084036
Sao Tome and Principe,2022,0.2740098798898995
Sao Tome and Principe,2023,0.18696171068005862
Sao Tome and Principe,2024,0.0434824383238158
Saudi Arabia,2021,0.36128257783281725
Saudi Arabia,2022,0.44923835789664157
Saudi Arabia,2023,0.4507028752792863
Saudi Arabia,2024,0.14365681592385446
Senegal,2021,0.44820399884934514
Senegal,2022,0.6657944938205554
Senegal,2023,0.6663093390593517
Senegal,2024,0.3611670173863748
Serbia,2021,0.31749112972931803
Serbia,2022,0.4044576397763464
Serbia,2023,0.36128214276571424
Serbia,2024,0.23046071483541175
Seychelles,2023,4.0691899035128e-07
Sierra Leone,2021,0.27396325141143574
Sierra Leone,2022,0.3612744622708821
Sierra Leone,2023,0.5354031729828246
Sierra Leone,2024,0.18699071840062026
Singapore,2021,0.04347862847901486
Singapore,2022,0.08695800065865564
Singapore,2023,0.04347900514107658
Singapore,2024,3.7213575568150927e-07
Sint Maarten,2021,0.04347853636257041
Sint Maarten,2022,0.14347878853082738
Sint Maarten,2023,6.043230220468954e-08
Sint Maarten,2024,0.0
Slovakia,2021,0.31741247384037696
Slovakia,2022,0.3608864047477225
Slovakia,2023,0.2304541096092473
Slovakia,2024,0.04350758244317379
Slovenia,2021,0.1304643464823985
Slovenia,2022,0.27393494203230373
Slovenia,2023,0.31742630366263713
Slovenia,2024,0.173926372633985
Solomon Islands,2021,0.3609803361941887
Solomon Islands,2022,0.3174106488681355
Solomon Islands,2023,0.27392953634421285
Solomon Islands,2024,0.0
Somalia,2021,1.0505415013878174
Somalia,2022,1.1148089760521538
Somalia,2023,1.1840454466738286
Somalia,2024,0.9968645825536352
South Africa,2021,0.6266284743961715
South Africa,2022,0.6276146941201265
South Africa,2023,0.6280528839894978
South Africa,2024,0.36308007552601074
South Korea,2021,0.2773518178773105
South Korea,2022,0.3656934393381357
South Korea,2023,0.1789863918883363
South Korea,2024,0.23165579423543592
South Sudan,2021,0.7327675162373328
South Sudan,2022,1.0058893125503034
South Sudan,2023,0.6843812129289408
South Sudan,2024,0.5836353774566242
Spain,2021,0.4070203400808212
Spain,2022,0.45091916053201864
Spain,2023,0.3636288594031051
Spain,2024,0.27495822067499887
Sri Lanka,2021,0.4481211832940529
Sri Lanka,2022,0.4485242652058974
Sri Lanka,2023,0.6656843521723027
Sri Lanka,2024,0.49146121765707884
Sudan,2021,0.897919327592753
Sudan,2022,0.9143781804070996
Sudan,2023,1.26186548013345
Sudan,2024,0.9744299036820153
Suriname,2021,0.2739318957729833
Suriname,2022,0.31740059257247627
Suriname,2023,0.3174268742742561
Suriname,2024,0.23043598407789415
Sweden,2021,0.17417019063109535
Sweden,2022,0.4047673801178848
Sweden,2023,0.23083732066491242
Sweden,2024,0.1740125981522997
Switzerland,2021,0.2741077476295726
Switzerland,2022,0.3176369319003056
Switzerland,2023,0.21761187360603645
Switzerland,2024,0.27398909516548864
Syria,2021,1.0280670794035829
Syria,2022,1.1491909881130125
Syria,2023,1.1546029619061589
Syria,2024,0.9161979943153632
Taiwan,2021,0.27481006668605834
Taiwan,2022,0.40516949734997276
Taiwan,2023,0.1319403629327823
Taiwan,2024,0.08725477513150118
Tajikistan,2021,0.4481377710344957
Tajikistan,2022,0.4054492347503176
Tajikistan,2023,0.23053297538879539
Tanzania,2021,0.6223340366250395
Tanzania,2022,0.49199700460785334
Tanzania,2023,0.5351776889836709
Tanzania,2024,0.2739647758241056
Thailand,2021,0.7104165718417783
Thailand,2022,0.6228199709115673
Thailand,2023,0.6229581930838275
Thailand,2024,0.4481809229226601
Togo,2021,0.36093965922269533
Togo,2022,0.5794914105764271
Togo,2023,0.49279603435786745
Togo,2024,0.44799623965184365
Tokelau,2023,0.0
Tonga,2021,2.8336306883966776e-07
Tonga,2022,0.0
Trinidad and Tobago,2021,0.4501662891909538
Trinidad and Tobago,2022,0.5391759375114645
Trinidad and Tobago,2023,0.583473467086248
Trinidad and Tobago,2024,0.4492207491797271
